SNP	CHR	BP	P	POS	GENEID	NEIGHBORGENE	FUNCTION
Chr1_19567367	1	19567367	7.612773e-03	19567367	AT1G52510	NA	alpha/beta-Hydrolases superfamily protein (EC alpha/beta-Hydrolases superfamily protein)
Chr3_3961439	3	3961439	1.312158e-02	54087399	AT3G12480	NA	nuclear factor Y, subunit C11 (EC nuclear factor Y, subunit C11)
Chr2_12389092	2	12389092	1.021031e-02	42816763	AT2G28860	NA	cytochrome P450, family 710, subfamily A, polypeptide 4 (EC cytochrome P450, family 710, subfamily A, polypeptide 4)
Chr1_5492035	1	5492035	6.968033e-03	5492035	AT1G15970	NA	DNA glycosylase superfamily protein (EC DNA glycosylase superfamily protein)
Chr1_12524155	1	12524155	8.524815e-03	12524155	AT1G34320	NA	Protein of unknown function (DUF668) (EC Protein of unknown function (DUF668))
Chr2_9131795	2	9131795	1.045267e-02	39559466	AT2G21330	NA	fructose-bisphosphate aldolase 1 (EC fructose-bisphosphate aldolase 1)
Chr2_9133903	2	9133903	1.045267e-02	39561574	AT2G21340	NA	MATE efflux family protein (EC MATE efflux family protein)
Chr1_17691281	1	17691281	1.172301e-02	17691281	NA	NA	NA
Chr5_14856301	5	14856301	1.001420e-02	107027147	AT5G37450	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr4_1369334	4	1369334	1.239113e-02	74955124	AT4G03080	NA	BRI1 suppressor 1 (BSU1)-like 1 (EC BRI1 suppressor 1 (BSU1)-like 1)
Chr5_8468437	5	8468437	2.756421e-03	100639283	AT5G24710	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr5_18152687	5	18152687	9.783578e-03	110323533	AT5G44950	NA	F-box/RNI-like/FBD-like domains-containing protein (EC F-box/RNI-like/FBD-like domains-containing protein)
Chr4_17785183	4	17785183	6.670176e-03	91370973	AT4G37820	NA	NA
Chr5_3194282	5	3194282	1.209177e-02	95365128	AT5G10180	NA	slufate transporter 2
Chr5_21967670	5	21967670	1.307241e-02	114138516	AT5G54140	NA	IAA-leucine-resistant (ILR1)-like 3 (EC IAA-leucine-resistant (ILR1)-like 3)
Chr3_1988846	3	1988846	1.021386e-02	52114806	NA	NA	NA
Chr2_1057383	2	1057383	1.134564e-02	31485054	NA	NA	NA
Chr3_11790759	3	11790759	1.198386e-02	61916719	NA	NA	NA
Chr1_10836360	1	10836360	1.451012e-02	10836360	AT1G30580	NA	GTP binding (EC GTP binding)
Chr5_14268711	5	14268711	2.447322e-03	106439557	NA	NA	NA
Chr5_8905849	5	8905849	3.304913e-03	101076695	AT5G25580	NA	NA
Chr5_15515533	5	15515533	2.222344e-03	107686379	AT5G38740	NA	AGAMOUS-like 77 (EC AGAMOUS-like 77)
Chr5_9905000	5	9905000	2.323573e-03	102075846	AT5G27890	NA	NA
Chr1_223752	1	223752	1.197639e-02	223752	AT1G01610	NA	glycerol-3-phosphate acyltransferase 4 (EC glycerol-3-phosphate acyltransferase 4)
Chr1_22099308	1	22099308	1.332495e-02	22099308	NA	NA	NA
Chr4_7321060	4	7321060	1.323073e-02	80906850	AT4G12330	NA	cytochrome P450, family 706, subfamily A, polypeptide 7 (EC cytochrome P450, family 706, subfamily A, polypeptide 7)
Chr2_19353543	2	19353543	1.150868e-02	49781214	AT2G47150	NA	NAD(P)-binding Rossmann-fold superfamily protein (EC NAD(P)-binding Rossmann-fold superfamily protein)
Chr4_1542677	4	1542677	3.517464e-03	75128467	AT4G03460	NA	Ankyrin repeat family protein (EC Ankyrin repeat family protein)
Chr2_10839748	2	10839748	9.550764e-03	41267419	AT2G25470	NA	receptor like protein 21 (EC receptor like protein 21)
Chr1_4903521	1	4903521	1.208095e-02	4903521	NA	NA	NA
Chr1_21920673	1	21920673	2.190039e-03	21920673	AT1G59650	NA	Protein of unknown function (DUF1336) (EC Protein of unknown function (DUF1336))
Chr2_19373125	2	19373125	1.066345e-02	49800796	NA	NA	NA
Chr3_15096699	3	15096699	5.387329e-03	65222659	NA	NA	NA
Chr5_8841490	5	8841490	1.261834e-02	101012336	AT5G25420	NA	Xanthine/uracil/vitamin C permease (EC Xanthine/uracil/vitamin C permease)
Chr2_19516490	2	19516490	1.143190e-02	49944161	AT2G47580	NA	spliceosomal protein U1A (EC spliceosomal protein U1A)
Chr5_7402941	5	7402941	8.573872e-03	99573787	AT5G22350	NA	Protein of unknown function (DUF1022) (EC Protein of unknown function (DUF1022))
Chr5_4425573	5	4425573	1.141639e-02	96596419	AT5G13700	NA	polyamine oxidase 1 (EC polyamine oxidase 1)
Chr2_11188287	2	11188287	1.103537e-02	41615958	AT2G26270	NA	NA
Chr5_18186504	5	18186504	9.362407e-03	110357350	AT5G45050	NA	Disease resistance protein (TIR-NBS-LRR class) (EC Disease resistance protein (TIR-NBS-LRR class))
Chr4_7182076	4	7182076	2.382809e-03	80767866	AT4G11970	NA	YTH family protein (EC YTH family protein)
Chr1_20484592	1	20484592	7.008019e-03	20484592	AT1G54940	NA	plant glycogenin-like starch initiation protein 4 (EC plant glycogenin-like starch initiation protein 4)
Chr3_16211485	3	16211485	8.182095e-03	66337445	NA	NA	NA
Chr4_4745154	4	4745154	4.589249e-03	78330944	NA	NA	NA
Chr5_13237263	5	13237263	8.285755e-03	105408109	NA	NA	NA
Chr5_8701176	5	8701176	2.601345e-02	100872022	NA	NA	NA
Chr2_10375344	2	10375344	2.632815e-03	40803015	AT2G24370	NA	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain (EC Protein kinase protein with adenine nucleotide alpha hydrolases-like domain)
Chr1_19436950	1	19436950	7.935503e-03	19436950	AT1G52190	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr5_6134373	5	6134373	3.162903e-03	98305219	AT5G18480	NA	plant glycogenin-like starch initiation protein 6 (EC plant glycogenin-like starch initiation protein 6)
Chr1_24937132	1	24937132	9.222992e-03	24937132	AT1G66840	NA	Plant protein of unknown function (DUF827) (EC Plant protein of unknown function (DUF827))
Chr3_16431152	3	16431152	8.629625e-03	66557112	NA	NA	NA
Chr3_2212467	3	2212467	1.444388e-02	52338427	AT3G07005	NA	low-molecular-weight cysteine-rich 43 (EC low-molecular-weight cysteine-rich 43)
Chr1_9488666	1	9488666	1.571067e-02	9488666	AT1G27320	NA	histidine kinase 3 (EC histidine kinase 3)
Chr1_9489511	1	9489511	1.571067e-02	9489511	AT1G27320	NA	histidine kinase 3 (EC histidine kinase 3)
Chr1_9491107	1	9491107	1.571067e-02	9491107	AT1G27320	NA	histidine kinase 3 (EC histidine kinase 3)
Chr5_15051040	5	15051040	8.938280e-03	107221886	AT5G37820	NA	NOD26-like intrinsic protein 4
Chr5_15057388	5	15057388	8.938280e-03	107228234	NA	NA	NA
Chr3_12317574	3	12317574	1.228622e-02	62443534	NA	NA	NA
Chr5_23908252	5	23908252	1.263601e-02	116079098	NA	NA	NA
Chr5_13808685	5	13808685	2.374223e-02	105979531	NA	NA	NA
Chr1_23834620	1	23834620	1.016408e-02	23834620	AT1G64230	NA	ubiquitin-conjugating enzyme 28 (EC ubiquitin-conjugating enzyme 28)
Chr4_455897	4	455897	1.005952e-02	74041687	AT4G01050	NA	thylakoid rhodanese-like (EC thylakoid rhodanese-like)
Chr4_456705	4	456705	1.005952e-02	74042495	AT4G01050	NA	thylakoid rhodanese-like (EC thylakoid rhodanese-like)
Chr2_2469040	2	2469040	3.480464e-03	32896711	NA	NA	NA
Chr3_5510713	3	5510713	1.635238e-02	55636673	AT3G16260	NA	tRNAse Z4 (EC tRNAse Z4)
Chr5_17379678	5	17379678	1.260607e-02	109550524	AT5G43300	NA	PLC-like phosphodiesterases superfamily protein (EC PLC-like phosphodiesterases superfamily protein)
Chr5_17383568	5	17383568	1.260607e-02	109554414	NA	NA	NA
Chr2_5695249	2	5695249	9.642385e-03	36122920	AT2G13680	NA	callose synthase 5 (EC callose synthase 5)
Chr4_11881591	4	11881591	1.018736e-02	85467381	AT4G22560	NA	NA
Chr2_15234813	2	15234813	1.282815e-02	45662484	AT2G36330	NA	Uncharacterised protein family (UPF0497) (EC Uncharacterised protein family (UPF0497))
Chr5_5650273	5	5650273	2.340327e-03	97821119	AT5G17165	NA	NA
Chr1_13891640	1	13891640	9.073200e-03	13891640	NA	NA	NA
Chr3_14974330	3	14974330	6.514578e-03	65100290	NA	NA	NA
Chr1_13841985	1	13841985	1.266764e-02	13841985	NA	NA	NA
Chr3_5270376	3	5270376	1.256857e-02	55396336	AT3G15550	NA	NA
Chr1_12472333	1	12472333	4.736370e-03	12472333	AT1G34245	NA	Putative membrane lipoprotein (EC Putative membrane lipoprotein)
Chr2_16040509	2	16040509	1.090467e-02	46468180	AT2G38280	NA	AMP deaminase, putative / myoadenylate deaminase, putative (EC AMP deaminase, putative / myoadenylate deaminase, putative)
Chr1_8309608	1	8309608	1.147920e-02	8309608	NA	NA	NA
Chr1_12463023	1	12463023	9.925579e-03	12463023	AT1G34210	NA	somatic embryogenesis receptor-like kinase 2 (EC somatic embryogenesis receptor-like kinase 2)
Chr2_11964450	2	11964450	2.151317e-03	42392121	AT2G28080	NA	UDP-Glycosyltransferase superfamily protein (EC UDP-Glycosyltransferase superfamily protein)
Chr1_23979960	1	23979960	1.102238e-02	23979960	AT1G64570	NA	Homeodomain-like superfamily protein (EC Homeodomain-like superfamily protein)
Chr3_4174081	3	4174081	2.782985e-03	54300041	AT3G13030	NA	hAT transposon superfamily protein (EC hAT transposon superfamily protein)
Chr2_11149850	2	11149850	1.159358e-02	41577521	AT2G26190	NA	calmodulin-binding family protein (EC calmodulin-binding family protein)
Chr2_11149882	2	11149882	1.159358e-02	41577553	AT2G26190	NA	calmodulin-binding family protein (EC calmodulin-binding family protein)
Chr2_11149915	2	11149915	1.159358e-02	41577586	AT2G26190	NA	calmodulin-binding family protein (EC calmodulin-binding family protein)
Chr3_12693731	3	12693731	4.895528e-03	62819691	NA	NA	NA
Chr5_698554	5	698554	1.286965e-02	92869400	AT5G02980	NA	Galactose oxidase/kelch repeat superfamily protein (EC Galactose oxidase/kelch repeat superfamily protein)
Chr3_17773734	3	17773734	1.253118e-02	67899694	AT3G48120	NA	NA
Chr2_6398732	2	6398732	7.841004e-03	36826403	AT2G14890	NA	arabinogalactan protein 9 (EC arabinogalactan protein 9)
Chr3_22319849	3	22319849	1.135829e-02	72445809	AT3G60380	NA	NA
Chr1_20837049	1	20837049	7.603782e-03	20837049	AT1G55730	NA	cation exchanger 5 (EC cation exchanger 5)
Chr3_15001742	3	15001742	9.891788e-03	65127702	NA	NA	NA
Chr3_16966365	3	16966365	3.547985e-03	67092325	AT3G46190	NA	TRAF-like family protein (EC TRAF-like family protein)
Chr5_10562742	5	10562742	2.157759e-03	102733588	AT5G28550	NA	NA
Chr5_5843302	5	5843302	1.252322e-02	98014148	AT5G17710	NA	Co-chaperone GrpE family protein (EC Co-chaperone GrpE family protein)
Chr5_16313785	5	16313785	1.122847e-02	108484631	AT5G40760	NA	glucose-6-phosphate dehydrogenase 6 (EC glucose-6-phosphate dehydrogenase 6)
Chr1_12463105	1	12463105	1.077850e-02	12463105	AT1G34210	NA	somatic embryogenesis receptor-like kinase 2 (EC somatic embryogenesis receptor-like kinase 2)
Chr1_12960701	1	12960701	2.453431e-03	12960701	NA	NA	NA
Chr5_21208479	5	21208479	1.338826e-02	113379325	AT5G52220	NA	NA
Chr5_13528074	5	13528074	6.728468e-03	105698920	AT5G35330	NA	methyl-CPG-binding domain protein 02 (EC methyl-CPG-binding domain protein 02)
Chr4_14574228	4	14574228	7.009286e-03	88160018	AT4G29760	NA	NA
Chr2_19209755	2	19209755	1.567842e-02	49637426	AT2G46740	NA	D-arabinono-1,4-lactone oxidase family protein (EC D-arabinono-1,4-lactone oxidase family protein)
Chr5_18108520	5	18108520	8.814831e-03	110279366	AT5G44840	NA	Pectin lyase-like superfamily protein (EC Pectin lyase-like superfamily protein)
Chr5_7403153	5	7403153	8.663704e-03	99573999	AT5G22350	NA	Protein of unknown function (DUF1022) (EC Protein of unknown function (DUF1022))
Chr5_3630304	5	3630304	9.101818e-03	95801150	AT5G11380	NA	1-deoxy-D-xylulose 5-phosphate synthase 3 (EC 1-deoxy-D-xylulose 5-phosphate synthase 3)
Chr5_3639601	5	3639601	9.101818e-03	95810447	AT5G11400	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr3_15969147	3	15969147	1.507536e-02	66095107	NA	NA	NA
Chr2_2142827	2	2142827	1.133102e-02	32570498	AT2G05710	NA	aconitase 3 (EC aconitase 3)
Chr2_18037789	2	18037789	8.910575e-03	48465460	AT2G43420	NA	3-beta hydroxysteroid dehydrogenase/isomerase family protein (EC 3-beta hydroxysteroid dehydrogenase/isomerase family protein)
Chr4_1345919	4	1345919	1.321366e-02	74931709	AT4G03050	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr4_1345954	4	1345954	1.321366e-02	74931744	AT4G03050	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr4_1352521	4	1352521	1.321366e-02	74938311	NA	NA	NA
Chr4_1358745	4	1358745	1.321366e-02	74944535	AT4G03070	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr4_1359278	4	1359278	1.321366e-02	74945068	AT4G03070	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr4_1366762	4	1366762	1.321366e-02	74952552	AT4G03080	NA	BRI1 suppressor 1 (BSU1)-like 1 (EC BRI1 suppressor 1 (BSU1)-like 1)
Chr4_1368426	4	1368426	1.321366e-02	74954216	AT4G03080	NA	BRI1 suppressor 1 (BSU1)-like 1 (EC BRI1 suppressor 1 (BSU1)-like 1)
Chr1_2342270	1	2342270	7.452196e-03	2342270	AT1G07590	NA	Tetratricopeptide repeat (TPR)-like superfamily protein (EC Tetratricopeptide repeat (TPR)-like superfamily protein)
Chr5_23914609	5	23914609	1.445431e-02	116085455	AT5G59270	NA	Concanavalin A-like lectin protein kinase family protein (EC Concanavalin A-like lectin protein kinase family protein)
Chr5_6948734	5	6948734	2.804131e-03	99119580	AT5G20520	NA	alpha/beta-Hydrolases superfamily protein (EC alpha/beta-Hydrolases superfamily protein)
Chr1_2858543	1	2858543	1.230299e-02	2858543	AT1G08910	NA	zinc ion binding
Chr3_8868731	3	8868731	9.935867e-03	58994691	NA	NA	NA
Chr5_8088979	5	8088979	1.085165e-02	100259825	NA	NA	NA
Chr1_9712168	1	9712168	1.448328e-02	9712168	AT1G27880	NA	DEAD/DEAH box RNA helicase family protein (EC DEAD/DEAH box RNA helicase family protein)
Chr1_29189652	1	29189652	7.575991e-03	29189652	AT1G77660	NA	Histone H3 K4-specific methyltransferase SET7/9 family protein (EC Histone H3 K4-specific methyltransferase SET7/9 family protein)
Chr1_29190129	1	29190129	7.575991e-03	29190129	AT1G77660	NA	Histone H3 K4-specific methyltransferase SET7/9 family protein (EC Histone H3 K4-specific methyltransferase SET7/9 family protein)
Chr1_29190513	1	29190513	7.575991e-03	29190513	AT1G77660	NA	Histone H3 K4-specific methyltransferase SET7/9 family protein (EC Histone H3 K4-specific methyltransferase SET7/9 family protein)
Chr1_29193261	1	29193261	7.575991e-03	29193261	AT1G77670	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein (EC Pyridoxal phosphate (PLP)-dependent transferases superfamily protein)
Chr1_29193658	1	29193658	7.575991e-03	29193658	AT1G77670	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein (EC Pyridoxal phosphate (PLP)-dependent transferases superfamily protein)
Chr1_29193935	1	29193935	7.575991e-03	29193935	AT1G77670	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein (EC Pyridoxal phosphate (PLP)-dependent transferases superfamily protein)
Chr4_633609	4	633609	1.473395e-02	74219399	NA	NA	NA
Chr2_4300324	2	4300324	2.337369e-03	34727995	NA	NA	NA
Chr1_26360366	1	26360366	1.738797e-02	26360366	NA	NA	NA
Chr4_317129	4	317129	1.315204e-02	73902919	AT4G00750	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (EC S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
Chr2_1177157	2	1177157	3.566611e-02	31604828	AT2G03850	NA	Late embryogenesis abundant protein (LEA) family protein (EC Late embryogenesis abundant protein (LEA) family protein)
Chr1_4518544	1	4518544	1.109625e-02	4518544	AT1G13210	NA	autoinhibited Ca2+/ATPase II (EC autoinhibited Ca2+/ATPase II)
Chr1_4520223	1	4520223	1.109625e-02	4520223	AT1G13220	NA	nuclear matrix constituent protein-related (EC nuclear matrix constituent protein-related)
Chr1_4522424	1	4522424	1.109625e-02	4522424	AT1G13230	NA	Leucine-rich repeat (LRR) family protein (EC Leucine-rich repeat (LRR) family protein)
Chr5_7193242	5	7193242	1.106212e-02	99364088	AT5G21150	NA	Argonaute family protein (EC Argonaute family protein)
Chr3_8751637	3	8751637	1.092301e-02	58877597	AT3G24200	NA	FAD/NAD(P)-binding oxidoreductase family protein (EC FAD/NAD(P)-binding oxidoreductase family protein)
Chr2_18895426	2	18895426	1.147601e-02	49323097	AT2G45910	NA	U-box domain-containing protein kinase family protein (EC U-box domain-containing protein kinase family protein)
Chr3_12635629	3	12635629	1.059490e-02	62761589	NA	NA	NA
Chr5_4391101	5	4391101	1.446953e-02	96561947	NA	NA	NA
Chr5_7375930	5	7375930	1.760357e-02	99546776	AT5G22280	NA	NA
Chr5_19053419	5	19053419	1.042637e-02	111224265	AT5G46915	NA	transcriptional factor B3 family protein (EC transcriptional factor B3 family protein)
Chr5_23911632	5	23911632	9.361392e-03	116082478	AT5G59260	NA	Concanavalin A-like lectin protein kinase family protein (EC Concanavalin A-like lectin protein kinase family protein)
Chr1_23295317	1	23295317	8.106768e-03	23295317	AT1G62880	NA	Cornichon family protein (EC Cornichon family protein)
Chr5_9846629	5	9846629	1.055178e-02	102017475	NA	NA	NA
Chr5_14691238	5	14691238	6.406206e-03	106862084	AT5G37140	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr3_15753861	3	15753861	1.021510e-02	65879821	AT3G43920	NA	dicer-like 3 (EC dicer-like 3)
Chr4_1781332	4	1781332	9.888965e-03	75367122	NA	NA	NA
Chr5_700241	5	700241	2.649184e-03	92871087	AT5G02990	NA	Galactose oxidase/kelch repeat superfamily protein (EC Galactose oxidase/kelch repeat superfamily protein)
Chr5_20743049	5	20743049	1.317831e-02	112913895	AT5G51000	NA	F-box and associated interaction domains-containing protein (EC F-box and associated interaction domains-containing protein)
Chr1_8088440	1	8088440	1.187936e-02	8088440	AT1G22860	NA	Vacuolar sorting protein 39 (EC Vacuolar sorting protein 39)
Chr1_29804689	1	29804689	1.496255e-02	29804689	AT1G79230	NA	mercaptopyruvate sulfurtransferase 1 (EC mercaptopyruvate sulfurtransferase 1)
Chr2_19059410	2	19059410	1.099917e-02	49487081	AT2G46430	NA	cyclic nucleotide gated channel 3 (EC cyclic nucleotide gated channel 3)
Chr2_13201719	2	13201719	1.431642e-02	43629390	AT2G31020	NA	OSBP(oxysterol binding protein)-related protein 1A (EC OSBP(oxysterol binding protein)-related protein 1A)
Chr3_22841905	3	22841905	2.596230e-03	72967865	AT3G61710	NA	AUTOPHAGY 6 (EC AUTOPHAGY 6)
Chr5_15880108	5	15880108	1.193064e-02	108050954	AT5G39660	NA	cycling DOF factor 2 (EC cycling DOF factor 2)
Chr1_6501917	1	6501917	1.929859e-02	6501917	NA	NA	NA
Chr3_16145093	3	16145093	1.235139e-02	66271053	NA	NA	NA
Chr2_12542215	2	12542215	3.159437e-02	42969886	AT2G29170	NA	NAD(P)-binding Rossmann-fold superfamily protein (EC NAD(P)-binding Rossmann-fold superfamily protein)
Chr3_12182554	3	12182554	2.190951e-03	62308514	NA	NA	NA
Chr4_11437252	4	11437252	8.901907e-03	85023042	AT4G21480	NA	sugar transporter protein 12 (EC sugar transporter protein 12)
Chr4_11437799	4	11437799	8.901907e-03	85023589	AT4G21480	NA	sugar transporter protein 12 (EC sugar transporter protein 12)
Chr2_9148841	2	9148841	1.473911e-02	39576512	AT2G21380	NA	Kinesin motor family protein (EC Kinesin motor family protein)
Chr3_17658050	3	17658050	1.151822e-02	67784010	AT3G47850	NA	NA
Chr4_18228315	4	18228315	1.177501e-02	91814105	AT4G39120	NA	myo-inositol monophosphatase like 2 (EC myo-inositol monophosphatase like 2)
Chr5_10826635	5	10826635	2.097522e-02	102997481	AT5G28810	NA	Domain of unknown function (DUF1985) (EC Domain of unknown function (DUF1985))
Chr4_16152721	4	16152721	1.110559e-02	89738511	AT4G33620	NA	Cysteine proteinases superfamily protein (EC Cysteine proteinases superfamily protein)
Chr2_11979193	2	11979193	9.605967e-03	42406864	AT2G28110	NA	Exostosin family protein (EC Exostosin family protein)
Chr1_2841904	1	2841904	1.155007e-02	2841904	AT1G08840	NA	DNA replication helicase, putative (EC DNA replication helicase, putative)
Chr1_449689	1	449689	1.134871e-02	449689	AT1G02270	NA	Calcium-binding endonuclease/exonuclease/phosphatase family (EC Calcium-binding endonuclease/exonuclease/phosphatase family)
Chr1_5853763	1	5853763	1.187117e-02	5853763	AT1G17110	NA	ubiquitin-specific protease 15 (EC ubiquitin-specific protease 15)
Chr4_13293651	4	13293651	1.016261e-02	86879441	NA	NA	NA
Chr3_15013045	3	15013045	1.041091e-02	65139005	NA	NA	NA
Chr3_4035004	3	4035004	1.096809e-02	54160964	AT3G12690	NA	AGC kinase 1.5 (EC AGC kinase 1.5)
Chr3_23110138	3	23110138	1.418828e-02	73236098	AT3G62470	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr1_28506555	1	28506555	9.226638e-03	28506555	AT1G75920	NA	GDSL-like Lipase/Acylhydrolase superfamily protein (EC GDSL-like Lipase/Acylhydrolase superfamily protein)
Chr1_21352348	1	21352348	2.852162e-03	21352348	AT1G57650	NA	ATP binding (EC ATP binding)
Chr3_8898737	3	8898737	7.275589e-03	59024697	AT3G24460	NA	Serinc-domain containing serine and sphingolipid biosynthesis protein (EC Serinc-domain containing serine and sphingolipid biosynthesis protein)
Chr1_16499100	1	16499100	1.332172e-02	16499100	NA	NA	NA
Chr3_7515616	3	7515616	1.077178e-02	57641576	AT3G21340	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr5_4892344	5	4892344	9.885128e-03	97063190	AT5G15090	NA	voltage dependent anion channel 3 (EC voltage dependent anion channel 3)
Chr5_14734084	5	14734084	2.298301e-03	106904930	AT5G37220	NA	RING/U-box superfamily protein (EC RING/U-box superfamily protein)
Chr5_4436745	5	4436745	1.389654e-02	96607591	AT5G13740	NA	zinc induced facilitator 1 (EC zinc induced facilitator 1)
Chr3_12268014	3	12268014	2.681321e-03	62393974	NA	NA	NA
Chr3_21118653	3	21118653	1.064910e-02	71244613	NA	NA	NA
Chr1_10826779	1	10826779	1.041564e-02	10826779	AT1G30550	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (EC S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
Chr3_9513218	3	9513218	9.857545e-03	59639178	AT3G26010	NA	Galactose oxidase/kelch repeat superfamily protein (EC Galactose oxidase/kelch repeat superfamily protein)
Chr5_26349938	5	26349938	1.189496e-02	118520784	AT5G65860	NA	ankyrin repeat family protein (EC ankyrin repeat family protein)
Chr1_10545826	1	10545826	1.036565e-02	10545826	AT1G30060	NA	COP1-interacting protein-related (EC COP1-interacting protein-related)
Chr5_13782455	5	13782455	6.213206e-03	105953301	NA	NA	NA
Chr5_107898	5	107898	1.117873e-02	92278744	AT5G01260	NA	Carbohydrate-binding-like fold (EC Carbohydrate-binding-like fold)
Chr1_30253610	1	30253610	9.601386e-03	30253610	NA	NA	NA
Chr5_3798807	5	3798807	1.348410e-02	95969653	AT5G11790	NA	N-MYC downregulated-like 2 (EC N-MYC downregulated-like 2)
Chr5_3803384	5	3803384	1.348410e-02	95974230	AT5G11790	NA	N-MYC downregulated-like 2 (EC N-MYC downregulated-like 2)
Chr2_6981409	2	6981409	1.621654e-02	37409080	AT2G16050	NA	Cysteine/Histidine-rich C1 domain family protein (EC Cysteine/Histidine-rich C1 domain family protein)
Chr4_18392366	4	18392366	1.561921e-02	91978156	AT4G39600	NA	Galactose oxidase/kelch repeat superfamily protein (EC Galactose oxidase/kelch repeat superfamily protein)
Chr5_3831886	5	3831886	1.375639e-02	96002732	AT5G11880	NA	Pyridoxal-dependent decarboxylase family protein (EC Pyridoxal-dependent decarboxylase family protein)
Chr5_7740258	5	7740258	9.127106e-03	99911104	AT5G23060	NA	calcium sensing receptor (EC calcium sensing receptor)
Chr3_5484562	3	5484562	8.924262e-03	55610522	AT3G16180	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr4_16305361	4	16305361	1.299354e-02	89891151	NA	NA	NA
Chr4_14179387	4	14179387	9.520950e-03	87765177	AT4G28710	NA	Myosin family protein with Dil domain (EC Myosin family protein with Dil domain)
Chr2_1044023	2	1044023	1.429875e-02	31471694	AT2G03450	NA	purple acid phosphatase 9 (EC purple acid phosphatase 9)
Chr2_901022	2	901022	7.500098e-03	31328693	AT2G03050	NA	Mitochondrial transcription termination factor family protein (EC Mitochondrial transcription termination factor family protein)
Chr3_5360869	3	5360869	1.062222e-02	55486829	AT3G15850	NA	fatty acid desaturase 5 (EC fatty acid desaturase 5)
Chr5_828922	5	828922	6.782676e-03	92999768	AT5G03370	NA	acylphosphatase family (EC acylphosphatase family)
Chr2_19517886	2	19517886	1.170273e-02	49945557	AT2G47580	NA	spliceosomal protein U1A (EC spliceosomal protein U1A)
Chr2_4075277	2	4075277	1.234862e-02	34502948	NA	NA	NA
Chr2_204597	2	204597	7.044516e-03	30632268	AT2G01440	NA	DEAD/DEAH box RNA helicase family protein (EC DEAD/DEAH box RNA helicase family protein)
Chr2_19061647	2	19061647	8.894854e-03	49489318	AT2G46430	NA	cyclic nucleotide gated channel 3 (EC cyclic nucleotide gated channel 3)
Chr2_6491822	2	6491822	1.194344e-02	36919493	NA	NA	NA
Chr2_1936120	2	1936120	7.040982e-03	32363791	AT2G05320	NA	beta-1,2-N-acetylglucosaminyltransferase II (EC beta-1,2-N-acetylglucosaminyltransferase II)
Chr3_6800113	3	6800113	1.144275e-02	56926073	AT3G19570	NA	Family of unknown function (DUF566) (EC Family of unknown function (DUF566))
Chr2_1654063	2	1654063	2.656367e-03	32081734	NA	NA	NA
Chr2_18465672	2	18465672	8.700970e-03	48893343	AT2G44790	NA	uclacyanin 2 (EC uclacyanin 2)
Chr3_20709836	3	20709836	1.023258e-02	70835796	AT3G55800	NA	sedoheptulose-bisphosphatase (EC sedoheptulose-bisphosphatase)
Chr1_7537323	1	7537323	1.028399e-02	7537323	NA	NA	NA
Chr5_19965623	5	19965623	1.150885e-02	112136469	AT5G49250	NA	Beta-galactosidase related protein (EC Beta-galactosidase related protein)
Chr1_28918270	1	28918270	8.421478e-03	28918270	AT1G76954	NA	Defensin-like (DEFL) family protein (EC Defensin-like (DEFL) family protein)
Chr1_7451091	1	7451091	9.722865e-03	7451091	NA	NA	NA
Chr2_2059757	2	2059757	2.031274e-02	32487428	NA	NA	NA
